version,mean,std,ci_lower,ci_upper,p_value,cohens_d,significant
A — content only,0.4908285385920815,0.06183317738192639,0.44420308355438254,0.5374539936297804,,,
B — hybrid,0.4555966845295439,0.1113958789354267,0.3715983560495515,0.5395950130095363,0.41763513552607145,0.3910743586995353,False
